Years,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Georgia,7.556979E11,6.916269E11,6.254257E11,6.379925E11,6.023664E11,5.737772E11,5.475466999999999E11,5.210082E11,4.900793E11,4.647528E11,4.477647E11,4.316539E11,4.180913E11,4.095908E11,4.163776E11,4.196063E11,4.060156E11,3.895377E11,3.64782E11,3.425762E11,3.270513E11,3.174755E11,3.05572E11,2.891879E11,2.653472E11,2.425408E11
Hawaii,9.82188E10,9.10961E10,8.25355E10,9.19127E10,9.03308E10,8.72174E10,8.39144E10,8.12303E10,7.67733E10,7.45549E10,7.19053E10,6.90839E10,6.68729E10,6.45497E10,6.56782E10,6.41636E10,6.08465E10,5.73694E10,5.23535E10,4.81661E10,4.46442E10,4.25854E10,4.10968E10,3.89906E10,3.76229E10,3.77074E10
Idaho,1.095465E11,9.62828E10,8.59278E10,8.28472E10,7.73954E10,7.17303E10,6.88374E10,6.58999E10,6.45752E10,6.18358E10,5.83239E10,5.69411E10,5.55876E10,5.40641E10,5.62008E10,5.39345E10,5.11258E10,4.86428E10,4.43279E10,4.04906E10,3.86732E10,3.7489E10,3.80831E10,3.42399E10,3.10598E10,2.94969E10
Illinois,1.0333101E12,9.456738E11,8.569429E11,8.895401E11,8.65661E11,8.249134E11,8.070432E11,7.999305E11,7.713561E11,7.411215E11,7.263991E11,6.928808E11,6.664048E11,6.498627E11,6.546575E11,6.501452E11,6.242429E11,5.898118E11,5.630608E11,5.330225E11,5.143611E11,5.015528E11,4.870146E11,4.603311E11,4.365671E11,4.155348E11
Indiana,4.557502E11,4.129752E11,3.737816E11,3.811323E11,3.731968E11,3.52601E11,3.405007E11,3.319457E11,3.279583E11,3.121385E11,3.005139E11,2.913561E11,2.825622E11,2.633268E11,2.755387E11,2.735095E11,2.596028E11,2.481705E11,2.397436E11,2.254427E11,2.128378E11,2.054709E11,2.038011E11,1.931473E11,1.843598E11,1.704319E11
Iowa,2.311078E11,2.168602E11,1.969829E11,1.957087E11,1.915166E11,1.845613E11,1.810114E11,1.802993E11,1.730959E11,1.622003E11,1.585384E11,1.484776E11,1.422339E11,1.368946E11,1.375485E11,1.379302E11,1.278963E11,1.231909E11,1.171885E11,1.051233E11,9.8557E10,9.48378E10,9.3112E10,8.77824E10,8.4644E10,8.27204E10
Kansas,2.106705E11,1.913806E11,1.775809E11,1.765644E11,1.72343E11,1.651825E11,1.60451E11,1.549582E11,1.501836E11,1.444832E11,1.418182E11,1.363589E11,1.285913E11,1.253489E11,1.286043E11,1.238787E11,1.140919E11,1.055263E11,9.9083E10,9.53599E10,9.15842E10,8.88836E10,8.6099E10,8.18838E10,7.8382E10,7.46623E10
Kentucky,2.603041E11,2.37182E11,2.168656E11,2.184947E11,2.085586E11,2.018722E11,1.964849E11,1.934131E11,1.879838E11,1.845244E11,1.781437E11,1.715869E11,1.664087E11,1.574798E11,1.598838E11,1.571637E11,1.534084E11,1.450111E11,1.355293E11,1.279822E11,1.224353E11,1.176479E11,1.141692E11,1.151068E11,1.093823E11,1.045462E11
Louisiana,2.814293E11,2.585713E11,2.325278E11,2.554819E11,2.566778E11,2.412134E11,2.270907E11,2.351135E11,2.407373E11,2.308325E11,2.353847E11,2.29945E11,2.253089E11,2.049069E11,2.123924E11,2.03041E11,2.077738E11,1.995947E11,1.710061E11,1.550924E11,1.398009E11,1.379012E11,1.326408E11,1.258073E11,1.201981E11,1.163132E11
Maine,8.44975E10,7.79633E10,7.074E10,6.86904E10,6.54771E10,6.22536E10,6.02544E10,5.81313E10,5.64108E10,5.44701E10,5.36797E10,5.25755E10,5.22562E10,5.11238E10,5.07132E10,5.04593E10,4.90454E10,4.70785E10,4.521E10,4.23152E10,4.04662E10,3.86057E10,3.68903E10,3.44132E10,3.21562E10,3.06184E10
Maryland,4.701871E11,4.439299E11,4.10931E11,4.203713E11,4.108122E11,4.00157E11,3.877334E11,3.697281E11,3.527613E11,3.405776E11,3.325235E11,3.262812E11,3.147283E11,2.991027E11,2.954002E11,2.829656E11,2.741453E11,2.621E11,2.451245E11,2.289593E11,2.178371E11,2.05981E11,1.920214E11,1.802616E11,1.699821E11,1.593721E11
Massachusetts,6.883916E11,6.413322E11,5.851503E11,5.899043E11,5.630543E11,5.31008E11,5.146376E11,4.988513E11,4.704685E11,4.543212E11,4.429169E11,4.25523E11,4.111361E11,3.905048E11,3.907784E11,3.785191E11,3.5927E11,3.419932E11,3.267371E11,3.111886E11,3.018364E11,2.968687E11,2.88791E11,2.646444E11,2.49299E11,2.372674E11
Michigan,6.206956E11,5.722058E11,5.201053E11,5.32217E11,5.202451E11,5.021304E11,4.90264E11,4.749833E11,4.517732E11,4.372744E11,4.226912E11,4.045547E11,3.90043E11,3.687338E11,3.904209E11,4.096154E11,4.01869E11,4.002689E11,3.856211E11,3.741742E11,3.636608E11,3.498858E11,3.521524E11,3.383124E11,3.126881E11,2.998177E11
Minnesota,4.464995E11,4.124586E11,3.768144E11,3.839566E11,3.720113E11,3.536649E11,3.440608E11,3.355302E11,3.247514E11,3.111264E11,2.983283E11,2.870393E11,2.742313E11,2.620889E11,2.674206E11,2.620631E11,2.522959E11,2.453805E11,2.312671E11,2.157218E11,2.037138E11,1.960061E11,1.91515E11,1.757593E11,1.669048E11,1.563514E11
Mississippi,1.387397E11,1.273077E11,1.151234E11,1.142344E11,1.122017E11,1.096008E11,1.072914E11,1.059146E11,1.043003E11,1.02371E11,1.004484E11,9.6218E10,9.39431E10,9.17922E10,9.45145E10,9.11914E10,8.70995E10,8.24485E10,7.7998E10,7.39619E10,6.92599E10,6.7174E10,6.56731E10,6.3879E10,6.09404E10,5.83527E10
Missouri,3.899312E11,3.58572E11,3.302499E11,3.324858E11,3.181535E11,3.080023E11,3.009145E11,2.969293E11,2.875075E11,2.80571E11,2.715351E11,2.620671E11,2.598161E11,2.533177E11,2.540458E11,2.443313E11,2.36386E11,2.279713E11,2.170842E11,2.055885E11,1.975577E11,1.906571E11,1.8665E11,1.77738E11,1.694834E11,1.631756E11
Montana,6.50145E10,5.86998E10,5.23558E10,5.19254E10,5.09169E10,4.85339E10,4.54909E10,4.66041E10,4.51772E10,4.36879E10,4.23409E10,4.09951E10,3.83361E10,3.61878E10,3.72249E10,3.62332E10,3.31661E10,3.08758E10,2.81605E10,2.57149E10,2.39421E10,2.28476E10,2.18767E10,2.08122E10,2.04291E10,1.92904E10
Nebraska,1.61702E11,1.462854E11,1.345808E11,1.318669E11,1.270155E11,1.217266E11,1.181459E11,1.165146E11,1.119459E11,1.072607E11,1.027259E11,9.99211E10,9.15615E10,8.68704E10,8.5628E10,8.38348E10,7.88138E10,7.45645E10,7.04692E10,6.64021E10,6.14173E10,5.96072E10,5.65275E10,5.36852E10,5.18221E10,4.98192E10
Nevada,2.159178E11,1.944866E11,1.725626E11,1.821863E11,1.702576E11,1.606531E11,1.518404E11,1.451159E11,1.360087E11,1.320864E11,1.293129E11,1.276779E11,1.246694E11,1.221271E11,1.306095E11,1.316209E11,1.258483E11,1.161662E11,1.03231E11,9.06336E10,8.50087E10,8.04292E10,7.68331E10,7.15959E10,6.51142E10,6.02591E10
New Hampshire,1.054144E11,9.96733E10,8.83377E10,8.73382E10,8.38698E10,8.0598E10,7.90901E10,7.6478E10,7.29952E10,7.04762E10,6.84981E10,6.61532E10,6.48436E10,6.25229E10,6.17002E10,6.17821E10,6.0017E10,5.69526E10,5.49182E10,5.16376E10,4.90599E10,4.68175E10,4.5342E10,4.19552E10,4.0554E10,3.82066E10
New Jersey,7.454222E11,6.829459E11,6.200859E11,6.376304E11,6.141065E11,5.87421E11,5.75501E11,5.632338E11,5.428428000000001E11,5.341778000000001E11,5.171959E11,4.959658E11,4.927624E11,4.824589E11,4.962272E11,4.748679E11,4.575931E11,4.357367E11,4.148486E11,4.009847E11,3.861325E11,3.73698E11,3.610054E11,3.360649E11,3.198613E11,3.078171E11
New Mexico,1.221148E11,1.095828E11,9.879E10,1.020275E11,9.7268E10,9.22736E10,8.97694E10,9.02743E10,9.21857E10,8.87569E10,8.79252E10,8.70628E10,8.46115E10,8.24615E10,8.46884E10,8.07998E10,7.76104E10,7.39114E10,6.99566E10,6.26511E10,5.78083E10,5.57897E10,5.5105E10,5.30173E10,5.06587E10,5.24756E10
New York,2.0531797E12,1.9012965E12,1.7408047E12,1.787666E12,1.6976614E12,1.6046499E12,1.5513541E12,1.4876276E12,1.4309233E12,1.365529E12,1.3282335E12,1.2476058E12,1.2235297E12,1.1600813E12,1.116591E12,1.1193815E12,1.0751546000000001E12,1.0160375E12,9.671519E11,9.124746E11,8.902581E11,8.783465E11,8.411813E11,7.9523E11,7.455024E11,7.188143E11
North Carolina,7.300724E11,6.621208E11,5.989159E11,5.94521E11,5.678362E11,5.485221E11,5.260298000000001E11,5.089287E11,4.831913E11,4.622689E11,4.450953E11,4.317227E11,4.200276E11,4.111558E11,4.187934E11,4.014909E11,3.87525E11,3.554697E11,3.298789E11,3.103889E11,2.978464E11,2.880695E11,2.780085E11,2.653757E11,2.468904E11,2.339349E11
North Dakota,7.32671E10,6.35596E10,5.44229E10,5.91992E10,5.92487E10,5.53947E10,5.19892E10,5.59969E10,5.99263E10,5.4271E10,5.18326E10,4.15877E10,3.56762E10,3.2226E10,3.18744E10,2.90754E10,2.65007E10,2.47E10,2.3259E10,2.20611E10,2.01947E10,1.88891E10,1.81001E10,1.70672E10,1.68166E10,1.57608E10
Ohio,8.226697E11,7.566172E11,6.843825E11,6.971668E11,6.671156E11,6.456368E11,6.232653E11,6.110195E11,5.956409E11,5.665324E11,5.457401E11,5.281899E11,5.005153E11,4.822811E11,4.969194E11,4.977615E11,4.827381E11,4.688916E11,4.462253E11,4.237802E11,4.110345E11,3.969445E11,3.922772E11,3.764652E11,3.616381E11,3.434303E11
Oklahoma,2.405343E11,2.153363E11,1.900636E11,2.041925E11,2.027125E11,1.90553E11,1.812444E11,1.868156E11,1.966316E11,1.826947E11,1.748744E11,1.662358E11,1.542874E11,1.46633E11,1.607637E11,1.457521E11,1.374365E11,1.250816E11,1.138738E11,1.057135E11,9.94792E10,9.70596E10,9.10939E10,8.42239E10,8.11969E10,7.90444E10
Oregon,2.991255E11,2.721909E11,2.479667E11,2.472331E11,2.371137E11,2.226016E11,2.113059E11,2.006596E11,1.881207E11,1.795277E11,1.74611E11,1.706309E11,1.641372E11,1.596073E11,1.649254E11,1.595852E11,1.535931E11,1.435078E11,1.356468E11,1.266715E11,1.206655E11,1.169636E11,1.171546E11,1.076215E11,1.051468E11,1.009148E11
Pennsylvania,9.230888E11,8.444965E11,7.716132E11,7.998888E11,7.739774E11,7.46441E11,7.265619E11,7.142029E11,6.941426E11,6.685691E11,6.479259E11,6.248197E11,6.047368E11,5.821448E11,5.880246E11,5.658318E11,5.312741E11,5.117314E11,4.873061E11,4.602706E11,4.409717E11,4.271086E11,4.091599E11,3.909168E11,3.737485E11,3.56988E11
Rhode Island,7.14022E10,6.65709E10,6.07706E10,6.16428E10,5.92908E10,5.8085E10,5.73535E10,5.63908E10,5.45597E10,5.30341E10,5.1583E10,5.02061E10,4.94683E10,4.77022E10,4.72775E10,4.73408E10,4.72044E10,4.43741E10,4.23639E10,3.9638E10,3.78092E10,3.58628E10,3.44668E10,3.22672E10,3.08185E10,2.89288E10
South Carolina,2.958805E11,2.698025E11,2.453595E11,2.459872E11,2.332514E11,2.232667E11,2.151202E11,2.058167E11,1.943527E11,1.850091E11,1.776181E11,1.720751E11,1.6586E11,1.618135E11,1.638862E11,1.627463E11,1.536477E11,1.454036E11,1.36982E11,1.315665E11,1.248639E11,1.194781E11,1.153206E11,1.102417E11,1.034563E11,9.7425E10
South Dakota,6.75707E10,6.16847E10,5.56812E10,5.40013E10,5.22993E10,5.02325E10,4.91514E10,4.80702E10,4.67854E10,4.5361E10,4.39015E10,4.18921E10,3.78525E10,3.64329E10,3.6603E10,3.5073E10,3.23645E10,3.09974E10,2.92713E10,2.72161E10,2.63221E10,2.34121E10,2.27433E10,2.10787E10,2.02281E10,1.90314E10
Tennessee,4.757551E11,4.271255E11,3.790071E11,3.801285E11,3.630555E11,3.508387E11,3.364139E11,3.25294E11,3.061531E11,2.958627E11,2.863415E11,2.698142E11,2.57776E11,2.523328E11,2.54242E11,2.486924E11,2.435839E11,2.316335E11,2.193279E11,2.051264E11,1.957643E11,1.864413E11,1.822472E11,1.762819E11,1.673946E11,1.543821E11
Texas,2.3559597E12,2.0517686E12,1.7899334E12,1.8587578E12,1.8093967E12,1.6732343E12,1.5790149E12,1.5734984E12,1.5792995E12,1.5151956E12,1.4211801E12,1.3413344E12,1.2459594E12,1.1696077E12,1.2442949E12,1.1910931E12,1.1031976E12,9.952524E11,9.134444E11,8.333423E11,7.898176E11,7.733755E11,7.38677E11,6.798703E11,6.451426E11,6.101573E11
Utah,2.481763E11,2.253403E11,2.021334E11,1.965389E11,1.844575E11,1.686499E11,1.578273E11,1.491534E11,1.421501E11,1.354504E11,1.295125E11,1.25565E11,1.186698E11,1.139854E11,1.171789E11,1.148134E11,1.065373E11,9.53551E10,8.60819E10,7.89454E10,7.57969E10,7.30576E10,7.02959E10,6.60193E10,6.22961E10,5.7684E10
Vermont,4.06171E10,3.71038E10,3.40186E10,3.42308E10,3.30668E10,3.22661E10,3.16612E10,3.09333E10,3.00994E10,2.92896E10,2.92413E10,2.84187E10,2.74066E10,2.60992E10,2.59993E10,2.47977E10,2.43315E10,2.36086E10,2.29382E10,2.12932E10,2.0273E10,1.93232E10,1.83411E10,1.71769E10,1.60807E10,1.54547E10
Virginia,6.493926E11,6.049576E11,5.569926E11,5.577644E11,5.329065E11,5.111149E11,4.960211E11,4.837865E11,4.651818E11,4.576405E11,4.459736E11,4.351803E11,4.269924E11,4.109674E11,4.046349E11,3.916998E11,3.762357E11,3.580697E11,3.321151E11,3.116657E11,2.953557E11,2.856359E11,2.684709E11,2.498011E11,2.31384E11,2.151017E11
Washington,7.255135E11,6.774895E11,6.129691E11,5.952318E11,5.643139E11,5.194096E11,4.872751E11,4.666897E11,4.40648E11,4.190924E11,4.005306E11,3.795749E11,3.654978E11,3.51245E11,3.547941E11,3.420242E11,3.142652E11,2.93676E11,2.683783E11,2.553702E11,2.459785E11,2.384186E11,2.373782E11,2.297979E11,2.097411E11,1.938259E11
West Virginia,9.55884E10,8.54342E10,7.65479E10,7.93256E10,7.91929E10,7.48201E10,7.09244E10,7.13185E10,7.26482E10,7.14815E10,7.03222E10,6.92341E10,6.59987E10,6.36007E10,6.26948E10,5.92735E10,5.701E10,5.34925E10,4.97414E10,4.70399E10,4.55808E10,4.39733E10,4.24956E10,4.17143E10,4.00146E10,3.87775E10
Wisconsin,4.017915E11,3.686113E11,3.405911E11,3.452364E11,3.324986E11,3.183104E11,3.140733E11,3.075079E11,2.95696E11,2.842709E11,2.771071E11,2.663644E11,2.564329E11,2.4721E11,2.468145E11,2.458395E11,2.375693E11,2.27297E11,2.155371E11,2.033392E11,1.946588E11,1.881631E11,1.804273E11,1.722241E11,1.626093E11,1.534317E11
Wyoming,4.74325E10,4.15102E10,3.63304E10,3.9428E10,3.91717E10,3.69807E10,3.5879E10,3.84269E10,4.03106E10,3.92898E10,3.88554E10,3.97514E10,3.76807E10,3.6252E10,4.28193E10,3.69508E10,3.27403E10,2.75763E10,2.34294E10,2.11936E10,1.91656E10,1.87083E10,1.71525E10,1.56797E10,1.48402E10,1.46545E10
